0:  0.000000e+00  0.000000e+00	 0.000000e+00 0.000000e+00 
1:  6.250000e-01  0.000000e+00	 1.457994e-03 0.000000e+00 
2:  1.875000e+00  0.000000e+00	 -1.016333e-02 0.000000e+00 
3:  3.125000e+00  0.000000e+00	 -1.429045e-02 0.000000e+00 
4:  4.375000e+00  0.000000e+00	 -1.866371e-02 0.000000e+00 
5:  5.625000e+00  0.000000e+00	 -2.354566e-02 0.000000e+00 
6:  6.875000e+00  0.000000e+00	 -2.827925e-02 0.000000e+00 
7:  8.125000e+00  0.000000e+00	 -3.313918e-02 0.000000e+00 
8:  9.375000e+00  0.000000e+00	 -3.796600e-02 0.000000e+00 
9:  1.000000e+01  0.000000e+00	 -4.036850e-02 0.000000e+00 
10:  0.000000e+00  6.250000e-01	 0.000000e+00 -2.896542e-03 
11:  6.250000e-01  6.250000e-01	 -2.682787e-03 -1.277681e-03 
12:  1.875000e+00  6.250000e-01	 -9.357534e-03 7.706461e-03 
13:  3.125000e+00  6.250000e-01	 -1.416055e-02 5.247617e-03 
14:  4.375000e+00  6.250000e-01	 -1.875673e-02 5.933037e-03 
15:  5.625000e+00  6.250000e-01	 -2.348845e-02 5.685813e-03 
16:  6.875000e+00  6.250000e-01	 -2.830315e-02 5.718375e-03 
17:  8.125000e+00  6.250000e-01	 -3.312880e-02 5.677018e-03 
18:  9.375000e+00  6.250000e-01	 -3.796975e-02 5.631827e-03 
19:  1.000000e+01  6.250000e-01	 -4.036817e-02 5.591898e-03 
20:  0.000000e+00  1.875000e+00	 0.000000e+00 2.483161e-02 
21:  6.250000e-01  1.875000e+00	 -6.148048e-04 2.577408e-02 
22:  1.875000e+00  1.875000e+00	 -7.285337e-03 1.898314e-02 
23:  3.125000e+00  1.875000e+00	 -1.285047e-02 1.785859e-02 
24:  4.375000e+00  1.875000e+00	 -1.821825e-02 1.738955e-02 
25:  5.625000e+00  1.875000e+00	 -2.312910e-02 1.727815e-02 
26:  6.875000e+00  1.875000e+00	 -2.806674e-02 1.714969e-02 
27:  8.125000e+00  1.875000e+00	 -3.293888e-02 1.704945e-02 
28:  9.375000e+00  1.875000e+00	 -3.779520e-02 1.691126e-02 
29:  1.000000e+01  1.875000e+00	 -4.020332e-02 1.679791e-02 
30:  0.000000e+00  3.125000e+00	 0.000000e+00 3.305135e-02 
31:  6.250000e-01  3.125000e+00	 -2.267240e-03 3.260213e-02 
32:  1.875000e+00  3.125000e+00	 -6.410818e-03 3.155328e-02 
33:  3.125000e+00  3.125000e+00	 -1.222860e-02 2.994008e-02 
34:  4.375000e+00  3.125000e+00	 -1.750468e-02 2.928217e-02 
35:  5.625000e+00  3.125000e+00	 -2.269188e-02 2.888039e-02 
36:  6.875000e+00  3.125000e+00	 -2.768346e-02 2.865894e-02 
37:  8.125000e+00  3.125000e+00	 -3.261771e-02 2.844703e-02 
38:  9.375000e+00  3.125000e+00	 -3.749331e-02 2.822457e-02 
39:  1.000000e+01  3.125000e+00	 -3.991374e-02 2.806251e-02 
40:  0.000000e+00  4.375000e+00	 0.000000e+00 4.374366e-02 
41:  6.250000e-01  4.375000e+00	 -2.124030e-03 4.381219e-02 
42:  1.875000e+00  4.375000e+00	 -7.059759e-03 4.272661e-02 
43:  3.125000e+00  4.375000e+00	 -1.191821e-02 4.184337e-02 
44:  4.375000e+00  4.375000e+00	 -1.715700e-02 4.102263e-02 
45:  5.625000e+00  4.375000e+00	 -2.225439e-02 4.054719e-02 
46:  6.875000e+00  4.375000e+00	 -2.729149e-02 4.017178e-02 
47:  8.125000e+00  4.375000e+00	 -3.223537e-02 3.987688e-02 
48:  9.375000e+00  4.375000e+00	 -3.712829e-02 3.957022e-02 
49:  1.000000e+01  4.375000e+00	 -3.955849e-02 3.938858e-02 
50:  0.000000e+00  5.625000e+00	 0.000000e+00 5.449957e-02 
51:  6.250000e-01  5.625000e+00	 -2.318996e-03 5.449685e-02 
52:  1.875000e+00  5.625000e+00	 -6.929359e-03 5.404685e-02 
53:  3.125000e+00  5.625000e+00	 -1.191632e-02 5.330798e-02 
54:  4.375000e+00  5.625000e+00	 -1.689174e-02 5.267892e-02 
55:  5.625000e+00  5.625000e+00	 -2.193452e-02 5.211486e-02 
56:  6.875000e+00  5.625000e+00	 -2.691280e-02 5.168480e-02 
57:  8.125000e+00  5.625000e+00	 -3.185157e-02 5.130328e-02 
58:  9.375000e+00  5.625000e+00	 -3.674303e-02 5.094517e-02 
59:  1.000000e+01  5.625000e+00	 -3.917993e-02 5.075371e-02 
60:  0.000000e+00  6.875000e+00	 0.000000e+00 6.562030e-02 
61:  6.250000e-01  6.875000e+00	 -2.318716e-03 6.561165e-02 
62:  1.875000e+00  6.875000e+00	 -7.049286e-03 6.527227e-02 
63:  3.125000e+00  6.875000e+00	 -1.181906e-02 6.475350e-02 
64:  4.375000e+00  6.875000e+00	 -1.672526e-02 6.415524e-02 
65:  5.625000e+00  6.875000e+00	 -2.164004e-02 6.362321e-02 
66:  6.875000e+00  6.875000e+00	 -2.656869e-02 6.314225e-02 
67:  8.125000e+00  6.875000e+00	 -3.147166e-02 6.272298e-02 
68:  9.375000e+00  6.875000e+00	 -3.635871e-02 6.232597e-02 
69:  1.000000e+01  6.875000e+00	 -3.879593e-02 6.213319e-02 
70:  0.000000e+00  8.125000e+00	 0.000000e+00 7.680087e-02 
71:  6.250000e-01  8.125000e+00	 -2.321228e-03 7.680560e-02 
72:  1.875000e+00  8.125000e+00	 -6.977097e-03 7.654174e-02 
73:  3.125000e+00  8.125000e+00	 -1.171781e-02 7.609031e-02 
74:  4.375000e+00  8.125000e+00	 -1.650400e-02 7.556989e-02 
75:  5.625000e+00  8.125000e+00	 -2.135127e-02 7.504073e-02 
76:  6.875000e+00  8.125000e+00	 -2.621467e-02 7.455947e-02 
77:  8.125000e+00  8.125000e+00	 -3.109137e-02 7.411796e-02 
78:  9.375000e+00  8.125000e+00	 -3.596686e-02 7.370786e-02 
79:  1.000000e+01  8.125000e+00	 -3.840437e-02 7.350803e-02 
80:  0.000000e+00  9.375000e+00	 0.000000e+00 8.804523e-02 
81:  6.250000e-01  9.375000e+00	 -2.274811e-03 8.804123e-02 
82:  1.875000e+00  9.375000e+00	 -6.854260e-03 8.780929e-02 
83:  3.125000e+00  9.375000e+00	 -1.148756e-02 8.740479e-02 
84:  4.375000e+00  9.375000e+00	 -1.620875e-02 8.691145e-02 
85:  5.625000e+00  9.375000e+00	 -2.099130e-02 8.641084e-02 
86:  6.875000e+00  9.375000e+00	 -2.582828e-02 8.593454e-02 
87:  8.125000e+00  9.375000e+00	 -3.068830e-02 8.549689e-02 
88:  9.375000e+00  9.375000e+00	 -3.556154e-02 8.508361e-02 
89:  1.000000e+01  9.375000e+00	 -3.799851e-02 8.488031e-02 
90:  0.000000e+00  1.000000e+01	 0.000000e+00 9.364310e-02 
91:  6.250000e-01  1.000000e+01	 -2.220529e-03 9.364374e-02 
92:  1.875000e+00  1.000000e+01	 -6.700299e-03 9.342311e-02 
93:  3.125000e+00  1.000000e+01	 -1.127772e-02 9.303950e-02 
94:  4.375000e+00  1.000000e+01	 -1.596779e-02 9.257042e-02 
95:  5.625000e+00  1.000000e+01	 -2.075581e-02 9.208402e-02 
96:  6.875000e+00  1.000000e+01	 -2.560220e-02 9.161894e-02 
97:  8.125000e+00  1.000000e+01	 -3.047733e-02 9.118381e-02 
98:  9.375000e+00  1.000000e+01	 -3.535573e-02 9.077170e-02 
99:  1.000000e+01  1.000000e+01	 -3.779331e-02 9.056754e-02 
