label=Displacement
num_items=200

0:	0.000000e+00 0.000000e+00 
1:	1.451691e-03 0.000000e+00 
2:	-1.016106e-02 0.000000e+00 
3:	-1.428996e-02 0.000000e+00 
4:	-1.866259e-02 0.000000e+00 
5:	-2.354488e-02 0.000000e+00 
6:	-2.827845e-02 0.000000e+00 
7:	-3.313843e-02 0.000000e+00 
8:	-3.796528e-02 0.000000e+00 
9:	-4.036780e-02 0.000000e+00 
10:	0.000000e+00 -2.887870e-03 
11:	-2.681493e-03 -1.275406e-03 
12:	-9.355371e-03 7.707009e-03 
13:	-1.415923e-02 5.247496e-03 
14:	-1.875589e-02 5.932996e-03 
15:	-2.348756e-02 5.685845e-03 
16:	-2.830239e-02 5.718364e-03 
17:	-3.312805e-02 5.677040e-03 
18:	-3.796903e-02 5.631857e-03 
19:	-4.036747e-02 5.591952e-03 
20:	0.000000e+00 2.482327e-02 
21:	-6.152085e-04 2.577223e-02 
22:	-7.285808e-03 1.898123e-02 
23:	-1.284975e-02 1.785897e-02 
24:	-1.821761e-02 1.738934e-02 
25:	-2.312844e-02 1.727815e-02 
26:	-2.806606e-02 1.714969e-02 
27:	-3.293822e-02 1.704948e-02 
28:	-3.779456e-02 1.691136e-02 
29:	-4.020269e-02 1.679806e-02 
30:	0.000000e+00 3.305108e-02 
31:	-2.267966e-03 3.260030e-02 
32:	-6.410818e-03 3.155250e-02 
33:	-1.222877e-02 2.993933e-02 
34:	-1.750429e-02 2.928202e-02 
35:	-2.269147e-02 2.888024e-02 
36:	-2.768297e-02 2.865892e-02 
37:	-3.261721e-02 2.844707e-02 
38:	-3.749281e-02 2.822470e-02 
39:	-3.991325e-02 2.806272e-02 
40:	0.000000e+00 4.374190e-02 
41:	-2.123760e-03 4.381086e-02 
42:	-7.059944e-03 4.272538e-02 
43:	-1.191812e-02 4.184273e-02 
44:	-1.715694e-02 4.102215e-02 
45:	-2.225414e-02 4.054699e-02 
46:	-2.729120e-02 4.017169e-02 
47:	-3.223504e-02 3.987691e-02 
48:	-3.712796e-02 3.957038e-02 
49:	-3.955817e-02 3.938882e-02 
50:	0.000000e+00 5.449840e-02 
51:	-2.319186e-03 5.449560e-02 
52:	-6.929409e-03 5.404585e-02 
53:	-1.191643e-02 5.330716e-02 
54:	-1.689172e-02 5.267841e-02 
55:	-2.193446e-02 5.211453e-02 
56:	-2.691268e-02 5.168467e-02 
57:	-3.185142e-02 5.130329e-02 
58:	-3.674288e-02 5.094534e-02 
59:	-3.917978e-02 5.075396e-02 
60:	0.000000e+00 6.561917e-02 
61:	-2.318694e-03 6.561051e-02 
62:	-7.049392e-03 6.527124e-02 
63:	-1.181914e-02 6.475270e-02 
64:	-1.672537e-02 6.415465e-02 
65:	-2.164009e-02 6.362285e-02 
66:	-2.656873e-02 6.314207e-02 
67:	-3.147168e-02 6.272298e-02 
68:	-3.635873e-02 6.232613e-02 
69:	-3.879595e-02 6.213344e-02 
70:	0.000000e+00 7.679979e-02 
71:	-2.321288e-03 7.680452e-02 
72:	-6.977199e-03 7.654077e-02 
73:	-1.171798e-02 7.608950e-02 
74:	-1.650417e-02 7.556930e-02 
75:	-2.135146e-02 7.504034e-02 
76:	-2.621486e-02 7.455928e-02 
77:	-3.109156e-02 7.411795e-02 
78:	-3.596705e-02 7.370803e-02 
79:	-3.840456e-02 7.350828e-02 
80:	0.000000e+00 8.804421e-02 
81:	-2.274861e-03 8.804020e-02 
82:	-6.854431e-03 8.780835e-02 
83:	-1.148780e-02 8.740401e-02 
84:	-1.620907e-02 8.691086e-02 
85:	-2.099164e-02 8.641046e-02 
86:	-2.582863e-02 8.593435e-02 
87:	-3.068866e-02 8.549689e-02 
88:	-3.556190e-02 8.508377e-02 
89:	-3.799888e-02 8.488056e-02 
90:	0.000000e+00 9.364210e-02 
91:	-2.220610e-03 9.364275e-02 
92:	-6.700523e-03 9.342220e-02 
93:	-1.127806e-02 9.303874e-02 
94:	-1.596820e-02 9.256985e-02 
95:	-2.075625e-02 9.208364e-02 
96:	-2.560265e-02 9.161875e-02 
97:	-3.047778e-02 9.118380e-02 
98:	-3.535617e-02 9.077187e-02 
99:	-3.779375e-02 9.056779e-02 
100:	-4.303070e-03 0.000000e+00 
101:	-4.417818e-03 0.000000e+00 
102:	-4.339738e-03 0.000000e+00 
103:	-3.575654e-03 0.000000e+00 
104:	-2.694814e-03 0.000000e+00 
105:	-1.860382e-03 0.000000e+00 
106:	-1.089762e-03 0.000000e+00 
107:	-4.483643e-04 0.000000e+00 
108:	-1.265879e-04 0.000000e+00 
109:	0.000000e+00 0.000000e+00 
110:	-4.037708e-03 1.368261e-03 
111:	-4.151472e-03 1.206932e-03 
112:	-4.072319e-03 9.611103e-04 
113:	-3.358113e-03 6.548301e-04 
114:	-2.537547e-03 4.336235e-04 
115:	-1.743427e-03 2.443512e-04 
116:	-1.057694e-03 1.031504e-04 
117:	-4.657924e-04 2.444588e-05 
118:	-1.462723e-04 9.054527e-06 
119:	0.000000e+00 0.000000e+00 
120:	-3.601068e-03 4.019542e-03 
121:	-3.663431e-03 3.529414e-03 
122:	-3.544559e-03 2.740778e-03 
123:	-2.901345e-03 1.858151e-03 
